위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.799706,128.740637,118,0,8,1,0,1,2,임당,3804.872161140272,0,0,0,0,0,1,0,1
35.811991,128.732403,161,0,8,3,0,1,1,정평,2473.604940153341,0,1,0,0,0,0,1,0
35.802819,128.738237,124,0,19,1,0,1,2,임당,3467.6039518085336,0,0,1,0,0,1,0,1
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.804688,128.741467,130,0,17,1,0,1,3,임당,3252.474684815659,0,0,1,0,1,0,0,0
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.802135,128.73902,119,0,19,1,0,1,2,임당,3539.2679055878343,0,0,1,0,0,1,0,1
35.800256,128.736481,121,0,9,0,0,1,2,임당,3764.773581026021,0,0,0,0,0,1,0,1
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.803801,128.738743,139,0,21,1,0,1,2,임당,3355.977842121572,0,0,1,0,1,0,0,0
35.805725,128.742053,130,0,18,1,0,1,2,임당,3138.7818848902184,0,0,1,0,1,0,0,0
35.803629,128.738667,118,0,19,1,0,1,2,임당,3375.429699430948,0,0,1,0,1,0,0,0
35.800333,128.740998,116,0,9,1,0,1,2,임당,3735.260027817863,0,0,1,0,1,0,0,1
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
