매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
10,제조업,5,경산시 일연로115길 47,35.859062,128.800632,668,0,3,0,0,0,0,영남대,4989.626055848229,0,0,0,0,0,0,0,0
7,기타,0,경산시 하양로 477,35.9268924,128.8553688,179,0,4,0,0,0,1,영남대,13654.38863314784,0,0,0,0,0,0,0,0
10,도매업,7,경산시 일연로 672,35.8682885,128.8055566,633,0,6,0,0,0,0,영남대,5927.177958495821,0,0,0,0,0,0,0,0
4,의료,11,경산시 백양로 180,35.8103282,128.760395,112,0,11,2,0,1,3,정평,2587.026832152365,0,0,2,0,0,0,0,1
6,의료,11,경산시 대학로 336,35.8393386,128.7580482,330,0,14,0,0,1,0,영남대,566.809836991648,0,2,0,0,0,0,0,0
10,제조업,5,경산시 금박로 183,35.8366072,128.8379125,308,0,3,0,0,0,0,영남대,7675.285254969435,0,0,0,0,0,0,1,0
5,소매업,6,경산시 성암로21길 39,35.8279873,128.7264341,123,3,12,8,0,1,1,정평,1070.8466134389764,0,1,5,5,0,0,0,0
9,소매업,6,경산시 동서길 17,35.917069,128.8200667,201,1,13,0,5,0,2,영남대,10813.919189842029,0,1,0,0,0,0,0,0
7,소매업,6,경산시 경산로 22,35.8107927,128.7353409,171,0,11,2,0,1,2,정평,1482.092423609456,0,2,0,0,0,0,1,0
4,도매업,7,경산시 경안로65길 11-1,35.8356277,128.7330429,119,2,14,3,6,1,1,임당,750.6404200976502,0,1,0,0,0,0,0,0
7,기타,0,경산시 하양로 189,35.9177484,128.8264996,234,1,6,0,5,0,0,영남대,11210.4619449264,0,2,0,0,0,0,0,0
7,기타,0,경산시 해오름길 40,35.8202604,128.7828398,302,0,0,1,0,1,0,영남대,3236.4731083490265,0,0,0,0,0,0,0,0
4,제조업,5,경산시 신촌길7길 19-1,35.8498737,128.7896274,557,0,6,0,0,0,0,영남대,3636.540192083119,0,0,0,0,0,0,0,0
4,제조업,5,경산시 원효로26길 25-6,35.8200277,128.7502786,150,0,17,1,0,1,1,정평,1258.7118376850208,0,0,0,0,0,0,0,1
4,제조업,5,경산시 대경로 323-3,35.8930305,128.7826705,59,0,3,0,0,0,0,영남대,6837.742913019388,0,0,0,0,0,0,0,0
5,기타,0,경산시 경산로7길 14-12,35.8129847,128.7313389,159,1,12,2,0,1,3,정평,1340.114624542308,0,1,0,2,0,0,0,1
7,소매업,6,경산시 진량내리길 26,35.9051452,128.8415592,187,0,5,0,0,0,0,영남대,11058.50809602794,0,1,0,0,0,1,0,0
6,제조업,5,경산시 공단1로1길 61,35.8753163,128.824478,626,0,5,1,0,0,1,영남대,7773.344330299865,0,1,0,0,0,0,0,0
4,제조업,5,경산시 당곡1길 19,35.8529875,128.8098617,678,0,4,0,0,0,1,영남대,5461.8341702636735,0,0,0,0,0,0,0,0
4,음식점,1,경산시 일연로 731,35.8734088,128.8042018,588,0,10,1,0,0,0,영남대,6191.273692059597,0,0,0,0,0,0,0,0
4,제조업,5,경산시 다문로61길 61-12,35.8802524,128.849886,519,0,7,0,0,0,0,영남대,10018.723332539324,0,0,0,0,0,0,0,0
6,소매업,6,경산시 봉황길 29,35.885331,128.8224198,464,0,7,0,0,0,1,영남대,8300.390440311354,0,1,0,0,0,0,0,0
4,제조업,5,경산시 하도로 137,35.7284732,128.739556,17,0,2,0,0,0,0,정평,10607.69881756148,0,0,0,0,0,0,0,0
8,운송업,3,경산시 공단5로4길 19,35.85697529999999,128.8222915,669,0,7,0,0,0,0,영남대,6668.167781201996,0,0,1,0,0,0,0,0
4,제조업,5,경산시 대학로13길 91-20,35.8376756,128.7263072,115,2,13,3,0,0,0,임당,1397.649127778215,0,0,1,3,0,0,0,0
4,소매업,6,경산시 다문로 11,35.8749127,128.8123973,600,0,6,1,0,0,3,영남대,6865.295665255922,0,1,1,0,0,0,0,0
6,의료,11,경산시 하양로 101,35.9135143,128.8185326,190,1,15,0,5,0,1,영남대,10410.230622002346,0,1,0,0,0,0,0,1
4,소매업,6,경산시 대학로 280,35.8330177,128.7532086,309,0,4,1,0,1,0,영남대,370.1876815309393,1,1,0,0,0,0,0,0
4,제조업,5,경산시 어봉지길 285-10,35.7868538,128.7885736,110,0,2,0,0,0,0,정평,6209.099671919461,0,0,0,0,0,0,1,0
5,제조업,5,경산시 한장군로 354-42,35.82390609999999,128.8145916,346,0,3,0,0,0,0,영남대,5737.210714488509,0,0,0,0,0,0,1,0
4,제조업,5,경산시 가마실길 50,35.9079712,128.8012825,82,0,2,0,0,0,0,영남대,9066.335252968453,0,1,0,0,1,0,0,0
10,제조업,5,경산시 곡란길 17-4,35.772039,128.8754566,27,0,8,0,0,0,0,영남대,13171.906304037571,0,0,0,0,0,0,0,0
6,소매업,6,경산시 중앙로16길 9-1,35.8224086,128.7360031,132,2,12,10,0,1,1,정평,215.37550999602115,1,3,1,9,0,0,0,0
10,제조업,5,경산시 내리길25길 52-22,35.8480289,128.7777103,468,0,0,0,0,0,0,영남대,2584.3274541188075,0,0,0,0,0,0,0,0
8,제조업,5,경산시 내리길25길 24,35.8463761,128.7809719,501,0,5,0,0,0,0,영남대,2764.345458600438,0,0,0,0,0,0,0,0
5,의료,11,경산시 중앙로 91,35.8239474,128.7367364,132,2,10,10,0,1,1,정평,48.76551656563944,1,5,1,8,0,0,0,0
4,기타,0,경산시 공단8로 159,35.8723757,128.830751,634,0,2,0,0,0,0,영남대,8084.141216487229,0,3,0,0,0,0,0,0
4,소매업,6,경산시 원효로32길 29,35.8182038,128.7528135,142,0,20,1,0,1,1,정평,1548.509112546282,0,0,0,0,0,0,0,1
7,소매업,6,경산시 대학로32길 24,35.8313283,128.7384858,141,1,10,5,6,1,0,임당,384.6309995401202,1,0,2,1,0,0,0,0
10,소매업,6,경산시 하양로 110,35.9138202,128.819497,200,1,15,0,5,0,1,영남대,10487.808623077452,0,1,0,0,0,0,0,1
9,제조업,5,경산시 연무길 19-6,35.8494653,128.7670139,344,0,5,0,0,0,0,영남대,1931.293712329238,0,0,0,0,0,0,0,0
10,소매업,6,경산시 경산로 270,35.8321497,128.7236291,116,2,19,4,0,0,0,정평,1524.0242374358102,0,2,4,7,0,0,0,0
9,도매업,7,경산시 금송로 472,35.9513733,128.8362529,176,0,6,0,0,0,1,영남대,14813.475918516391,0,0,0,0,0,0,0,0
5,기타,0,경산시 북리1길 83,35.8902167,128.8287961,440,0,4,0,0,0,0,영남대,9090.539314861728,0,0,0,0,0,0,0,0
5,기타,0,경산시 공단9로 1,35.8573759,128.8347003,636,0,5,0,0,0,0,영남대,7743.892762941704,0,0,1,0,0,0,0,0
4,소매업,6,경산시 하양로 15,35.9081233,128.8119211,130,0,9,0,0,0,0,영남대,9579.929778805095,0,1,0,0,0,1,0,0
8,소매업,6,경산시 박사강변로 144,35.9640427,128.8114664,140,0,4,0,0,1,0,영남대,15121.036656728633,0,0,0,0,0,0,0,0
4,소매업,6,경산시 중앙로 67,35.8228752,128.7343534,130,2,9,9,0,1,1,정평,293.5237842006137,1,4,2,10,0,0,0,0
4,소매업,6,경산시 경안로 189,35.824372,128.7369085,132,2,9,10,6,1,0,정평,47.005070612158754,1,4,3,8,0,0,0,0
6,제조업,5,경산시 공단8로 200,35.8741609,128.8340944,596,0,6,0,0,0,0,영남대,8444.548200485242,0,1,0,0,0,0,0,0
7,음식점,1,경산시 갓바위로 67-2,35.9646073,128.7900068,100,0,6,0,0,1,0,영남대,14618.952902149536,0,0,0,0,0,0,0,0
5,도매업,7,경산시 대학로 385,35.8424143,128.7619387,336,0,19,0,0,1,2,영남대,1053.9409259381011,0,2,0,0,0,0,0,0
