건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,총점
31,,1.15451E+24,,서울특별시 금천구 시흥대로50길 31,153858,8629,,1,,126.9037629,37.4517321,70
29,,1.15451E+24,이성HILLS,서울특별시 금천구 금하로23가길 29,153841,8574,,1,,126.9103518,37.45174799,29
29,,1.15451E+24,이성HILLS,서울특별시 금천구 금하로23가길 29,153841,8574,,2,,126.9103518,37.45174799,79
31,,1.15451E+24,,서울특별시 금천구 금하로23가길 31,153841,8574,,1,,126.9105778,37.45175007,9
15,,1.15451E+24,,서울특별시 금천구 탑골로 15,153841,8574,,1,,126.9106908,37.45175111,22
15,,1.15451E+24,,서울특별시 금천구 탑골로 15,153841,8574,,,,126.9106908,37.45175111,44
6,,1.15451E+24,,서울특별시 금천구 시흥대로54길 6,153858,8629,,,,126.9032652,37.45175452,75
18,,1.15451E+24,,서울특별시 금천구 탑골로 18,153843,8657,,,,126.9111654,37.45175549,85
697,,1.15451E+24,,서울특별시 금천구 금하로 697,153841,8573,,2,,126.9075148,37.45175784,34
697,,1.15451E+24,,서울특별시 금천구 금하로 697,153841,8573,,1,,126.9075148,37.45175784,57
697,,1.15451E+24,,서울특별시 금천구 금하로 697,153841,8573,,,,126.9075148,37.45175784,80
21,,1.15451E+24,,서울특별시 금천구 독산로11길 21,153858,8630,,1,,126.9048246,37.45177799,98
21,,1.15451E+24,,서울특별시 금천구 독산로11길 21,153858,8630,,1,,126.9048246,37.45177799,18
200,,1.15451E+24,,서울특별시 금천구 시흥대로 200,153858,8629,,1,,126.9022249,37.45178991,39
690,,1.15451E+24,,서울특별시 금천구 금하로 690,153859,8642,,1,,126.9066214,37.45179463,30
690,,1.15451E+24,,서울특별시 금천구 금하로 690,153859,8642,,1,,126.9066214,37.45179463,21
690,,1.15451E+24,,서울특별시 금천구 금하로 690,153859,8642,,1,,126.9066214,37.45179463,38
690,,1.15451E+24,,서울특별시 금천구 금하로 690,153859,8642,,1,,126.9066214,37.45179463,83
56,9,1.15451E+24,,서울특별시 금천구 탑골로 56-9,153842,8656,,,,126.9154823,37.45179518,97
8,,1.15451E+24,,서울특별시 금천구 시흥대로52길 8,153858,8629,,1,,126.9027446,37.45180375,37
8,,1.15451E+24,,서울특별시 금천구 시흥대로52길 8,153858,8629,,2,,126.9027446,37.45180375,44
8,,1.15451E+24,,서울특별시 금천구 시흥대로52길 8,153858,8629,,3,,126.9027446,37.45180375,84
20,,1.15451E+24,,서울특별시 금천구 탑골로 20,153843,8657,,,,126.9111986,37.45180985,27
20,,1.15451E+24,,서울특별시 금천구 탑골로 20,153843,8657,,1,,126.9111986,37.45180985,67
20,,1.15451E+24,,서울특별시 금천구 탑골로 20,153843,8657,,1,,126.9111986,37.45180985,3
38,,1.15451E+24,,서울특별시 금천구 금하로14길 38,153858,8629,,1,,126.9040213,37.45183362,47
38,,1.15451E+24,,서울특별시 금천구 금하로14길 38,153858,8629,,,,126.9040213,37.45183362,70
17,,1.15451E+24,,서울특별시 금천구 독산로11길 17,153858,8630,,1,,126.9050046,37.45183372,8
17,,1.15451E+24,,서울특별시 금천구 독산로11길 17,153858,8630,,,,126.9050046,37.45183372,93
30,,1.15451E+24,,서울특별시 금천구 독산로11길 30,153858,8629,,1,,126.9042134,37.4518354,31
30,,1.15451E+24,,서울특별시 금천구 독산로11길 30,153858,8629,,1,,126.9042134,37.4518354,55
43,,1.16501E+24,,서울특별시 서초구 홍씨마을길 43,137180,6801,,,,127.0662315,37.45183896,1
42,,1.16501E+24,,서울특별시 서초구 홍씨마을길 42,137180,6801,,지,,127.065915,37.45184547,6
688,,1.15451E+24,,서울특별시 금천구 금하로 688,153859,8642,,,,126.9064623,37.45185623,68
51,,1.15451E+24,,서울특별시 금천구 독산로 51,153858,8630,,1,,126.9057502,37.45185865,21
14,,1.15451E+24,,서울특별시 금천구 금하로23길 14,153841,8574,,,,126.9087905,37.45185973,25
14,,1.15451E+24,,서울특별시 금천구 금하로23길 14,153841,8574,,,,126.9087905,37.45185973,59
17,,1.15451E+24,,서울특별시 금천구 탑골로 17,153841,8574,,1,,126.9109153,37.45186131,28
17,,1.15451E+24,,서울특별시 금천구 탑골로 17,153841,8574,,1,,126.9109153,37.45186131,48
17,,1.15451E+24,,서울특별시 금천구 탑골로 17,153841,8574,,1,,126.9109153,37.45186131,98
17,,1.15451E+24,,서울특별시 금천구 탑골로 17,153841,8574,,,,126.9109153,37.45186131,72
17,,1.15451E+24,,서울특별시 금천구 탑골로 17,153841,8574,,1,,126.9109153,37.45186131,15
13,,1.15451E+24,,서울특별시 금천구 독산로11길 13,153858,8630,,1,,126.9051511,37.45186211,21
46,,1.15451E+24,,서울특별시 금천구 탑골로 46,153842,8656,,,,126.9140799,37.4518634,1
46,1,1.15451E+24,,서울특별시 금천구 탑골로 46-1,153842,8656,,,,126.9142494,37.45186495,90
46,1,1.15451E+24,,서울특별시 금천구 탑골로 46-1,153842,8656,,1,,126.9142494,37.45186495,48
54,6,1.15451E+24,,서울특별시 금천구 탑골로 54-6,153842,8656,,,,126.9150291,37.45187212,36
28,,1.15451E+24,,서울특별시 금천구 독산로11길 28,153858,8629,,1,,126.9043598,37.4518728,41
28,,1.15451E+24,,서울특별시 금천구 독산로11길 28,153858,8629,,,,126.9043598,37.4518728,40
28,,1.15451E+24,,서울특별시 금천구 독산로11길 28,153858,8629,,,,126.9043598,37.4518728,75
686,,1.15451E+24,,서울특별시 금천구 금하로 686,153859,8642,,1,,126.9063374,37.45189112,68
686,,1.15451E+24,,서울특별시 금천구 금하로 686,153859,8642,,1,,126.9063374,37.45189112,82
