id,group_id,latitude,longitude,num_of_company,num_of_large,num_of_bus_stop,num_of_hospital,num_of_theather,num_of_camp,num_of_school,nearest_subway_name,nearest_subway_distance,num_of_subway,num_of_gvn_office,parks_within_500m,parking_lots_within_500m,industry_category,avg_sales_level
343,4455,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,소매업,3.64
719,4455,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,소매업,3.58
1504,4455,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,소매업,3.92
343,4456,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,도매업,5.6
719,4456,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,도매업,5.55
1504,4456,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,도매업,5.55
343,4457,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,교육,1.0
719,4457,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,교육,1.0
1504,4457,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,교육,1.0
343,4458,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,유흥주점,1.67
719,4458,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,유흥주점,1.67
1504,4458,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,유흥주점,1.67
343,4459,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,카페 및 베이커리,5.5
719,4459,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,카페 및 베이커리,5.5
1504,4459,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,카페 및 베이커리,5.5
1789,4460,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,음식점,2.7
1039,4460,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,음식점,2.75
1277,4460,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,음식점,3.3
1789,4461,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,미용,1.5
1039,4461,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,미용,1.5
1277,4461,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,미용,2.0
1789,4462,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,서비스,2.67
1039,4462,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,서비스,3.25
1277,4462,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,서비스,4.0
1789,4463,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,소매업,4.39
1039,4463,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,소매업,4.48
1277,4463,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,소매업,4.21
1789,4464,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,도매업,4.8
1039,4464,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,도매업,4.8
1277,4464,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,도매업,8.0
1789,4465,35.833828,128.724146,115,1,17,2,0,0,0,정평,407.9438367377239,1,2,2,4,교육,1.67
1039,4465,35.835335,128.72402,92,1,20,3,0,0,0,정평,441.1755754101614,1,1,2,4,교육,1.4
1277,4465,35.833582,128.721474,85,1,18,2,0,0,0,사월,649.1032522775434,0,2,1,6,교육,2.0
